Loyalty#,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,CancellationDate,Customer Lifetime Value,EnrollmentType,FullName,year,month,day
144514,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,female,Bachelor,Urban,24204.0,Married,Star,,3864.78,Standard,Belkis Siurek,2019,6,11
611765,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,male,Bachelor,Suburban,79628.0,Single,Star,,3867.97,Standard,Marjorie Pangelina,2021,1,28
988178,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,male,College,Rural,0.0,Single,Star,,3871.07,Standard,Andre Cotugno,2016,10,13
286114,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,female,College,Rural,0.0,Single,Star,,3872.22,Standard,Vikki Rengers,2019,11,29
205785,Ontario,Toronto,43.653225,-79.383186,M2M 6J7,male,Master,Rural,28142.0,Married,Star,,3873.65,Standard,Johnathan Cannizzaro,2019,8,25
735304,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,female,Master,Urban,28142.0,Married,Star,,3873.65,Standard,Lang Privatsky,2019,12,6
438936,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,male,Bachelor,Rural,84981.0,Married,Star,,3878.77,Standard,Bernie Schlagel,2016,10,30
243713,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,female,College,Rural,0.0,Married,Star,,3883.4,2021 Promotion,Doloris Buben,2021,2,9
354730,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,female,College,Urban,0.0,Married,Star,1/2/2021,3885.46,Standard,Herbert Cantabrana,2017,10,23
413741,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,College,Urban,0.0,Married,Star,,3885.46,Standard,Mitchell Hinchliff,2018,7,30
552965,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,male,College,Rural,0.0,Married,Star,,3885.46,Standard,Lia Broome,2021,11,18
642313,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,male,College,Suburban,0.0,Married,Star,,3885.46,Standard,Michel Theuret,2019,3,22
263080,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,male,College,Urban,0.0,Single,Star,,3886.5,Standard,Tracy Hergenreter,2017,5,21
109767,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Bachelor,Suburban,78108.0,Single,Star,,3886.65,Standard,Ami Grosbier,2019,5,21
217754,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,female,Bachelor,Urban,96335.0,Single,Star,,3887.32,Standard,Mitzi Roaoo,2018,6,20
157005,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,Bachelor,Rural,91182.0,Married,Star,,3890.87,Standard,Tanika Quire,2019,10,31
557752,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,female,Bachelor,Suburban,91182.0,Married,Star,,3890.87,Standard,Sherilyn Fujikawa,2020,10,9
608758,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,male,Bachelor,Rural,43578.0,Married,Star,,3890.96,Standard,Rhona Interiano,2016,7,15
599341,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,female,Bachelor,Rural,31409.0,Married,Star,,3891.54,Standard,Shaunna Books,2018,11,22
333502,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,College,Urban,0.0,Married,Star,,3891.58,Standard,Shawnda Valladares,2017,3,4
201574,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,female,Bachelor,Suburban,26605.0,Married,Star,12/6/2018,3893.31,Standard,Trudy Roscoe,2018,4,6
403361,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,male,Bachelor,Rural,52361.0,Single,Star,,3895.03,Standard,Inell Zeno,2020,10,24
543918,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,male,High School or Below,Urban,10853.0,Married,Star,,3896.57,Standard,Penni Gess,2015,11,19
806030,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,female,Bachelor,Urban,60068.0,Married,Star,,3903.47,Standard,Rasheeda Simenson,2021,5,3
119200,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,female,Bachelor,Rural,51833.0,Divorced,Star,,3903.8,Standard,Bari Seraille,2020,5,8
175967,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,male,Bachelor,Suburban,60230.0,Married,Star,,3906.67,2021 Promotion,Jolyn Podvin,2021,2,15
238119,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Bachelor,Rural,60230.0,Married,Star,,3906.67,Standard,Aundrea Difranco,2016,5,19
730388,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,male,College,Rural,0.0,Single,Star,,3907.03,Standard,Gaynelle Garnette,2015,5,2
834891,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Bachelor,Rural,30821.0,Married,Star,4/18/2020,3911.12,Standard,Wendell Besley,2020,3,8
127400,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,College,Rural,0.0,Single,Star,,3914.72,Standard,Cassandra Easlick,2017,6,26
324557,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,female,College,Urban,0.0,Single,Star,,3914.72,Standard,Bethanie Kolander,2016,2,24
742002,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,female,College,Urban,0.0,Single,Star,,3915.8,Standard,Carolyne Purdue,2019,5,15
536567,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,male,Bachelor,Suburban,66676.0,Married,Star,,3919.37,Standard,Clint Maravilla,2019,5,12
704835,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,male,Bachelor,Urban,66676.0,Married,Star,,3919.37,Standard,Elvina Kurtich,2019,9,17
733338,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,female,Bachelor,Rural,66676.0,Married,Star,2/3/2020,3919.37,Standard,Raphael Muskrat,2019,6,3
758635,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Bachelor,Suburban,66676.0,Married,Star,,3919.37,Standard,Stephany Loft,2021,6,20
823048,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Urban,66676.0,Married,Star,,3919.37,Standard,Echo Wendy,2021,5,9
612905,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,female,College,Rural,0.0,Married,Star,,3920.51,Standard,Frankie Lapitan,2018,2,28
679908,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,female,Bachelor,Rural,62445.0,Married,Star,,3921.02,Standard,Deon Biery,2018,8,15
704150,Manitoba,Winnipeg,49.895138,-97.138374,R6Y 4T5,male,Bachelor,Urban,62445.0,Married,Star,,3921.02,Standard,Raymond Hokkanen,2017,10,27
869743,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,female,Bachelor,Suburban,56480.0,Single,Star,7/10/2020,3924.42,Standard,Sima Parton,2019,11,10
596179,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,female,Bachelor,Suburban,25927.0,Single,Star,,3933.81,Standard,Kathryne Kloeck,2017,3,28
370450,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,female,High School or Below,Urban,20920.0,Married,Star,,3934.1,Standard,Cathryn Sundell,2015,11,2
501030,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Urban,84229.0,Married,Star,,3934.71,Standard,Ciera Kalfa,2020,3,25
878633,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,female,Doctor,Rural,19245.0,Married,Star,,3936.79,Standard,Victor Toplin,2016,12,2
285938,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,female,Bachelor,Suburban,60021.0,Married,Star,,3939.01,Standard,Glen Randall,2017,9,3
588237,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,male,Bachelor,Rural,60021.0,Married,Star,,3939.01,Standard,Teresia Mckendry,2016,11,25
645280,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,male,Bachelor,Suburban,60021.0,Married,Star,,3939.01,Standard,Natalya Boardwine,2015,12,15
864324,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,female,Bachelor,Rural,60021.0,Married,Star,,3939.01,Standard,Cherri Flavell,2021,6,3
124678,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,male,Doctor,Urban,18375.0,Married,Star,,3954.34,Standard,Eddie Ribsamen,2016,6,13
186015,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Doctor,Rural,18375.0,Married,Star,,3954.34,Standard,Florrie Thach,2018,9,5
461108,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Doctor,Urban,18375.0,Married,Star,,3954.34,Standard,Polly Mayville,2021,10,15
589580,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,male,Doctor,Suburban,18375.0,Married,Star,,3954.34,Standard,Elodia Kieffer,2018,8,27
623688,Ontario,London,42.984924,-81.245277,M5B 3E4,female,Doctor,Rural,18375.0,Married,Star,,3954.34,Standard,Dwayne Cimaglia,2019,5,7
751616,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,female,Doctor,Suburban,18375.0,Married,Star,,3954.34,2021 Promotion,Rocco Niederhauser,2021,4,17
256147,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,College,Suburban,0.0,Married,Star,,3958.0,Standard,Joleen Gessford,2015,9,4
329382,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,College,Suburban,0.0,Single,Star,,3961.59,2021 Promotion,Ngoc Dubuisson,2015,8,27
140392,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Bachelor,Rural,88701.0,Married,Star,,3963.39,Standard,Hilary Shain,2016,7,22
541008,Ontario,London,42.984924,-81.245277,M5B 3E4,male,Bachelor,Suburban,38096.0,Divorced,Star,,3963.4,2021 Promotion,Jeanmarie Resch,2021,4,4
230908,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Doctor,Suburban,23474.0,Divorced,Star,,3964.15,Standard,Carmelia Burkham,2015,5,27
972581,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,High School or Below,Rural,14616.0,Married,Star,,3964.53,Standard,Quiana Ciolli,2019,2,13
357549,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,Bachelor,Rural,60817.0,Single,Star,5/21/2019,3964.73,Standard,Elisha Furna,2021,9,21
157729,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,male,Bachelor,Rural,72439.0,Married,Star,,3966.13,2021 Promotion,Tobi Kriss,2021,3,18
910875,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,female,Bachelor,Urban,72439.0,Married,Star,,3966.13,Standard,Alaina Rumble,2015,11,3
501704,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,College,Suburban,0.0,Divorced,Star,,3974.86,Standard,Jadwiga Howry,2016,5,3
529098,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,College,Urban,0.0,Divorced,Star,,3974.86,Standard,Sherril Roofner,2020,10,23
265297,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,female,Bachelor,Urban,39101.0,Married,Star,3/17/2019,3978.67,Standard,Ebonie Radde,2021,7,17
567875,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,female,Bachelor,Suburban,96413.0,Married,Star,,3979.72,Standard,Lady Tlumacki,2020,5,15
688524,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,female,Bachelor,Urban,98333.0,Married,Star,,3980.42,Standard,Darius Dehnert,2016,3,26
269070,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Master,Rural,17220.0,Married,Star,,3985.32,Standard,Virginia Swida,2016,1,14
387705,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,female,Master,Suburban,17220.0,Married,Star,,3985.32,Standard,Paulene Saluan,2016,4,30
923293,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,male,Bachelor,Suburban,75007.0,Divorced,Star,,3985.55,Standard,Lauretta Craze,2019,6,12
283314,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,female,Bachelor,Suburban,54964.0,Married,Star,2/3/2018,3991.73,Standard,Vi Scialdone,2016,4,17
322102,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,College,Suburban,0.0,Married,Star,4/19/2017,3992.58,Standard,Hermelinda Hilst,2016,8,19
789157,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,College,Rural,0.0,Single,Star,,3995.36,Standard,Lenora Millhiser,2021,9,25
654748,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,female,Bachelor,Rural,46210.0,Married,Star,12/3/2020,3996.77,Standard,Lona Hyer,2020,4,3
984713,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,female,College,Suburban,0.0,Single,Star,,3997.48,Standard,Remedios Swinea,2021,8,4
114835,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Master,Suburban,19782.0,Divorced,Star,,4001.52,Standard,Willard Powal,2020,7,3
328936,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,female,Bachelor,Suburban,28987.0,Married,Star,,4005.72,Standard,Yvonne Tear,2018,3,21
845864,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,Doctor,Urban,15413.0,Married,Star,,4013.85,Standard,Josue Disalvi,2016,4,24
645265,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,male,Bachelor,Suburban,56586.0,Married,Star,,4013.95,Standard,Stella Nageotte,2016,3,5
223587,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,Bachelor,Rural,93284.0,Married,Star,,4013.96,Standard,Nelia Gallipo,2020,8,20
158560,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,male,Bachelor,Suburban,37384.0,Married,Star,,4014.45,Standard,Hulda Kvam,2018,12,11
417584,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,Bachelor,Suburban,37384.0,Married,Star,,4014.45,Standard,Lucina Moncion,2017,5,17
566033,Ontario,Toronto,43.653225,-79.383186,M2P 4F6,male,College,Urban,0.0,Married,Star,7/23/2019,4015.21,Standard,Cruz Arlt,2018,6,16
957912,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,female,Bachelor,Urban,80055.0,Married,Star,,4015.34,2021 Promotion,Lacy Georgopoulos,2021,2,17
425854,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,female,High School or Below,Rural,10074.0,Married,Star,,4016.13,Standard,Tobi Sather,2019,11,22
174896,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,female,College,Urban,0.0,Single,Star,12/16/2018,4016.54,Standard,Freeman Decristoforo,2018,4,16
695855,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,female,College,Suburban,0.0,Divorced,Star,,4019.38,Standard,Mac Dering,2016,4,7
699511,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,female,College,Rural,0.0,Divorced,Star,,4019.38,Standard,Tiffany Baradi,2017,7,6
377322,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,female,Bachelor,Urban,41833.0,Married,Star,,4023.81,Standard,Lura Blyden,2019,5,8
511053,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,male,Bachelor,Suburban,41833.0,Married,Star,,4023.81,Standard,Meghan Douyon,2018,3,13
890753,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,male,College,Urban,0.0,Married,Star,,4025.1,Standard,Faustina Sempek,2020,9,2
796670,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,female,Bachelor,Suburban,21359.0,Married,Star,,4035.68,Standard,Maryetta Castera,2017,2,12
556136,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,female,College,Rural,0.0,Married,Star,,4035.77,Standard,Grisel Kapps,2020,1,25
513081,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,female,Bachelor,Rural,90760.0,Married,Star,,4037.5,Standard,Louis Beaucage,2018,11,5
930718,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,female,High School or Below,Suburban,21586.0,Married,Star,,4037.55,Standard,Willena Ledee,2018,7,14
235872,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,female,Doctor,Urban,13330.0,Single,Star,,4046.94,Standard,Ima Ghiloni,2016,3,20
881142,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,female,Doctor,Suburban,13330.0,Single,Star,5/27/2020,4046.94,Standard,Luanna Hatlee,2019,9,27
295147,British Columbia,Kelowna,49.887951,-119.49601,V09 2E9,male,Bachelor,Urban,92801.0,Married,Star,,4048.16,Standard,Timothy Loli,2020,5,21
306110,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,male,Bachelor,Suburban,44661.0,Married,Star,,4053.37,Standard,Janel Ynocencio,2016,5,12
295217,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Doctor,Urban,11621.0,Divorced,Star,,4059.57,Standard,Ruthanne Cavicchi,2019,6,6
711363,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,male,College,Suburban,0.0,Married,Star,12/24/2021,4064.11,2021 Promotion,Mariella Corkron,2021,4,24
591731,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,male,Bachelor,Rural,26599.0,Married,Star,,4064.18,Standard,Mindy Sadee,2016,9,25
326905,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,female,College,Urban,0.0,Married,Star,,4068.09,Standard,Joel Guyette,2020,2,7
375511,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,female,Bachelor,Urban,37435.0,Single,Star,,4070.05,Standard,Brandon Geissler,2017,7,6
485283,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,male,Bachelor,Suburban,96443.0,Single,Star,,4072.85,Standard,Magali Bilich,2020,9,5
760158,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Bachelor,Suburban,29549.0,Divorced,Star,,4076.63,2021 Promotion,Claudette Ganga,2021,2,18
797685,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,male,College,Suburban,0.0,Married,Star,,4079.13,Standard,Malka Policicchio,2020,6,3
216467,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,male,Doctor,Suburban,13483.0,Married,Star,,4083.56,Standard,Misti Hussein,2017,7,13
958839,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,male,Doctor,Rural,13483.0,Married,Star,,4083.56,Standard,Carleen Isaac,2021,8,16
539673,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,female,Bachelor,Urban,24123.0,Married,Star,6/6/2021,4087.51,Standard,Song Wiesen,2018,2,20
746226,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,Bachelor,Urban,43177.0,Married,Star,,4089.04,Standard,Theodora Sampieri,2021,1,17
484718,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Urban,60759.0,Single,Star,,4089.46,Standard,Rubi Mccluney,2015,6,24
528492,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,Bachelor,Suburban,38884.0,Married,Star,11/18/2021,4090.75,Standard,Lynn Chestnut,2018,6,9
995091,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,Bachelor,Suburban,32180.0,Married,Star,,4095.2,Standard,Devon Arns,2020,9,15
632793,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,female,High School or Below,Suburban,20079.0,Single,Star,,4097.37,Standard,Kenneth Mcfan,2019,6,21
912220,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,High School or Below,Suburban,20079.0,Single,Star,4/18/2017,4097.37,Standard,Jammie Hyon,2016,8,18
382197,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Rural,51193.0,Married,Star,6/30/2021,4100.47,Standard,Marianne Kirtley,2020,10,30
705196,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,College,Rural,0.0,Single,Star,,4101.94,Standard,Eddy Bitner,2016,11,26
123094,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,female,Bachelor,Urban,82427.0,Married,Star,,4103.85,Standard,Clara Driesenga,2021,1,16
821515,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,female,Bachelor,Rural,39492.0,Married,Star,,4105.58,2021 Promotion,Tabitha Forkey,2021,3,12
119488,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,female,College,Suburban,0.0,Single,Star,,4108.26,Standard,Britteny Course,2020,6,27
287750,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,female,College,Rural,0.0,Single,Star,,4109.31,Standard,Angella Kuchta,2015,8,21
735846,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,male,Bachelor,Rural,86657.0,Married,Star,,4109.79,Standard,Warner Brogley,2015,8,31
606026,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,male,Bachelor,Suburban,31842.0,Single,Star,,4110.62,Standard,Joyce Cocca,2018,7,24
460291,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,female,Bachelor,Urban,32210.0,Divorced,Star,,4111.2,Standard,Yolando Pecue,2018,9,2
743001,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,female,Bachelor,Suburban,65085.0,Married,Star,,4111.89,Standard,Verdell Mcdearmon,2020,5,14
869799,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,female,Bachelor,Urban,65085.0,Married,Star,,4111.89,Standard,Calista Brucken,2018,3,17
520321,Ontario,London,42.984924,-81.245277,M5B 3E4,female,Doctor,Suburban,25030.0,Married,Star,5/12/2019,4112.84,Standard,Rachele Mazingo,2018,9,12
279419,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,female,College,Urban,0.0,Single,Star,,4117.37,Standard,Reyes Sobczak,2016,7,3
170585,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,male,Bachelor,Urban,69379.0,Single,Star,,4118.59,Standard,Kimiko Saturnio,2016,8,28
188340,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,male,Bachelor,Urban,69379.0,Single,Star,,4118.59,Standard,Mai Husain,2020,4,22
670817,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,male,Bachelor,Rural,69379.0,Single,Star,,4118.59,Standard,Caitlin Bulman,2019,12,16
509513,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,College,Rural,0.0,Single,Star,,4121.25,Standard,Billy Mearse,2015,12,9
779247,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,male,Bachelor,Urban,75272.0,Married,Star,,4122.57,Standard,Tesha Deeley,2015,9,19
111255,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,High School or Below,Urban,24732.0,Married,Star,,4122.96,Standard,Norene Barahona,2016,3,2
763061,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,male,Bachelor,Urban,34080.0,Married,Star,,4126.61,Standard,Valene Brayman,2017,4,4
509108,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,female,College,Urban,0.0,Single,Star,,4132.59,2021 Promotion,Letha Vancleve,2021,4,13
428919,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,female,Bachelor,Suburban,35945.0,Divorced,Star,,4139.9,Standard,Leona Parraga,2018,7,25
139863,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,male,Bachelor,Rural,48263.0,Married,Star,,4142.56,Standard,Ariel Greenberg,2018,10,10
695755,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,female,Bachelor,Urban,64478.0,Married,Star,,4144.87,Standard,Horace Astolfi,2015,4,3
355331,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,male,College,Suburban,0.0,Divorced,Star,,4145.02,Standard,Angelo Kyler,2016,7,7
578837,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,male,College,Rural,0.0,Single,Star,,4152.65,Standard,Carmelia Carbonneau,2015,5,7
603248,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,male,College,Suburban,0.0,Married,Star,10/10/2019,4157.7,Standard,Lynwood Overmyer,2019,2,10
467182,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,female,Bachelor,Rural,96263.0,Married,Star,10/22/2021,4160.02,Standard,Hubert Rattay,2016,12,25
601407,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,male,Bachelor,Rural,55897.0,Married,Star,,4165.17,Standard,Karena Cardone,2018,9,13
700871,Newfoundland,St. John's,47.561508,-52.712578,A1C 6H9,female,Bachelor,Rural,58299.0,Married,Star,,4165.25,Standard,Ilene Newman,2018,12,26
203809,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,female,High School or Below,Urban,17161.0,Married,Star,,4165.35,Standard,Stefani Hiney,2015,7,2
705589,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,female,College,Rural,0.0,Single,Star,,4165.99,Standard,Jaclyn Waelti,2015,5,22
354438,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,male,College,Rural,0.0,Married,Star,,4167.09,Standard,Maricela Veals,2021,9,1
746060,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,male,College,Rural,0.0,Married,Star,,4167.09,Standard,Bonita Fyke,2017,4,20
469718,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,male,Bachelor,Rural,56901.0,Married,Star,,4167.42,Standard,Dusty Luckadoo,2016,1,13
164429,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,female,Bachelor,Rural,35457.0,Single,Star,,4169.36,Standard,Elli Lefaver,2015,9,25
708373,Ontario,Toronto,43.653225,-79.383186,M2P 4F6,female,Bachelor,Suburban,35457.0,Single,Star,,4169.36,Standard,Petronila Mckinnon,2020,3,26
